sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
1_0403_9688	K00929	2be93cb6fdbb7cb2f7c4e7e5c48c91b1	13	0.0173616629374705	1	13	0.0173616629374705	0.00198412698412698
1_0403_9688	K00929	2fa024900c15a559fd420ceb6de7d93c	13	0.0173616629374705	1	13	0.0173616629374705	0.00198412698412698
1_0403_9688	K00929	30406054e178cd9846048e27916bb5d9	39	0.0520849888124115	1	39	0.0520849888124115	0.00595238095238095
1_0403_9688	K00929	52aaa79de05ce7a2308a58495a26bef7	81	0.10817651522577774	1	81	0.10817651522577774	0.01236263736263736
1_0403_9688	K00929	539f049bd3eae43fe41be294bfa6b8b5	215	0.2871351947350891	1	215	0.2871351947350891	0.03281440781440781
1_0403_9688	K00929	54e3f8369dd2263b6ca12b9492fe419d	60.5	0.08079850828592042	1	60.5	0.08079850828592042	0.00923382173382173
1_0403_9688	K00929	5e51f0b907125eb79cf09219ca4139e9	1156	1.5438524889012233	1	1156	1.5438524889012233	0.17643467643467645
1_0403_9688	K00929	63721fe5120f49d8481aa9194b09b54b	31	0.04140088854319889	1	31	0.04140088854319889	0.00473137973137973
1_0403_9688	K00929	680dc3d6deb8fda5dfa5643527d15f9a	37	0.04941396374510835	1	37	0.04941396374510835	0.00564713064713064
1_0403_9688	K00929	7a61da82e043fc2e0252934cfc718753	139	0.1856362421775692	1	139	0.1856362421775692	0.02121489621489621
1_0403_9688	K00929	86e2c0621f63f15e551833709c6f3238	31	0.04140088854319889	1	31	0.04140088854319889	0.00473137973137973
1_0403_9688	K00929	87c73190cb6713a91b5de17d3ff4c3d4	58	0.07745972695179147	1	58	0.07745972695179147	0.00885225885225885
1_0403_9688	K00929	88ab9af7bd6d8a09c14a812cb2082a79	849	1.133850141070189	1	849	1.133850141070189	0.1295787545787546
1_0403_9688	K00929	8ba742f68eac37fe13c4b1904dbecfc1	16	0.02136820053842523	1	16	0.02136820053842523	0.00244200244200244
1_0403_9688	K00929	9da2594e4053ce39175868ea7d27d564	79	0.1055054901584746	1	79	0.1055054901584746	0.01205738705738705
1_0403_9688	K00929	bcaa663b6ba40455634757464f104af0	325	0.4340415734367626	1	325	0.4340415734367626	0.0496031746031746
1_0403_9688	K00929	c544ed46d118037e56fb14b964ddb15b	186	0.24840533125919337	1	186	0.24840533125919337	0.02838827838827838
1_0403_9688	K00929	cab1f3ff63df5a854dcf58cf595623cc	92	0.1228671530959451	1	92	0.1228671530959451	0.01404151404151404
1_0403_9688	K00929	cae2da4e292bc63db3f85b6febdab924	37	0.04941396374510835	1	37	0.04941396374510835	0.00564713064713064
1_0403_9688	K00929	d79519543ffab2d394dbea5b67b2f780	73	0.09749241495656512	1	73	0.09749241495656512	0.01114163614163614
1_0403_9688	K00929	e1d0794790521a5fa5fd22f9628cb981	76	0.10149895255751984	1	76	0.10149895255751984	0.0115995115995116
1_0403_9688	K00929	e2bebd0eb850939e3ab5c3627bc5f261	52	0.069446651749882	1	52	0.069446651749882	0.0079365079365079309
1_0403_9688	K00929	f02ccb4b14c74c9d4e485d482bb8c61c	45	0.06009806401432097	1	45	0.06009806401432097	0.00686813186813186
1_0403_9688	K00929	f1a19f355668a8aab3c8152791b1cffc	19.5	0.02604249440620575	1	19.5	0.02604249440620575	0.00297619047619047
1_0403_9688	K00929	fe4c45af45a1ced6777398479ca5025b	2734	3.651291267003412	1	2734	3.651291267003412	0.4172771672771673
1_0403_9688	K01034	0203f969920901394b0b659701c31957	26	0.034723325874941	1	26	0.034723325874941	0.04436860068259386
1_0403_9688	K01034	078d1e0322d964e9ce0945b108d2525e	45	0.06009806401432097	1	45	0.06009806401432097	0.07679180887372014
1_0403_9688	K01034	2be93cb6fdbb7cb2f7c4e7e5c48c91b1	13	0.0173616629374705	1	13	0.0173616629374705	0.02218430034129693
1_0403_9688	K01034	2dfd4fa96aa4e6696add94669ab7472c	10	0.01335512533651577	1	10	0.01335512533651577	0.01706484641638225
1_0403_9688	K01034	539f049bd3eae43fe41be294bfa6b8b5	215	0.2871351947350891	1	215	0.2871351947350891	0.3668941979522185
1_0403_9688	K01034	6a0f79733f56aa0089569a95136bf180	39	0.0520849888124115	1	39	0.0520849888124115	0.06655290102389079
